Tenure,Active_Member,Products_Number,Balance,Complain
6,1,1,0.0,0
6,0,2,0.0,0
9,0,1,82674.15,0
7,0,2,0.0,0
1,1,1,0.0,1
4,1,2,107073.27,1
1,1,1,88938.62,0
2,1,1,99806.85,0
5,0,1,150092.8,0
9,0,1,92833.89,1
3,1,1,90536.81,0
7,0,2,108055.1,0
2,0,1,100238.35,0
9,1,1,106190.55,0
9,1,2,154475.54,1
9,1,2,132351.29,0
6,0,1,167864.4,0
1,0,2,0.0,0
8,0,1,107818.63,1
4,0,2,185173.81,0
8,0,2,129433.34,0
6,0,1,120193.42,0
6,0,2,0.0,0
10,1,1,126384.42,0
3,0,1,0.0,0
9,0,1,152603.45,1
1,1,1,0.0,1
0,0,1,148507.24,1
7,0,2,0.0,0
9,0,1,101827.07,0
3,1,2,0.0,0
9,1,1,130862.43,0
9,1,1,122570.87,0
1,1,2,0.0,0
7,1,2,124828.46,0
5,1,2,144895.05,0
5,1,1,63663.93,0
2,1,1,133463.1,0
2,0,1,213146.2,0
1,1,2,129490.36,1
10,0,1,137452.09,0
7,1,2,0.0,0
5,1,1,125851.93,0
2,0,1,0.0,1
5,0,1,40915.55,0
5,1,1,113157.22,0
8,0,2,138296.94,0
5,0,1,106967.18,0
9,0,1,120681.63,0
0,1,2,0.0,0
7,0,2,0.0,0
9,0,1,0.0,1
8,0,2,0.0,0
2,0,1,127609.59,0
6,1,2,0.0,0
7,0,1,0.0,1
7,0,2,0.0,0
2,1,2,0.0,0
6,1,1,97259.25,0
4,0,1,123246.7,0
6,1,1,101060.25,0
2,0,2,0.0,0
7,0,1,108007.36,0
2,1,2,0.0,0
0,0,1,133702.89,1
9,1,2,125189.75,0
7,0,1,113034.22,1
9,0,1,109013.23,0
2,0,2,0.0,1
9,0,2,57929.81,0
4,0,1,130114.39,0
5,0,2,95826.49,1
10,0,1,129608.57,1
4,0,1,169462.09,1
5,1,2,0.0,0
7,1,1,133868.21,0
0,1,2,0.0,0
5,0,2,190479.48,0
8,1,1,101993.12,0
3,0,1,161608.81,1
2,1,1,122311.21,0
2,1,2,0.0,0
1,0,2,162150.42,0
2,1,2,0.0,0
4,1,1,0.0,1
8,0,2,0.0,0
1,0,1,99010.67,0
0,1,1,0.0,0
5,1,2,0.0,0
7,0,2,111388.18,0
8,0,2,56214.85,1
3,0,2,84327.77,0
1,0,2,0.0,0
8,0,1,93012.89,0
9,0,2,61710.44,0
3,1,1,174790.15,0
6,1,2,0.0,0
3,1,1,107720.64,0
10,1,2,0.0,0
6,0,1,96423.84,0
2,1,1,141040.01,0
4,1,1,105420.18,0
5,1,1,0.0,1
2,1,2,129022.06,1
3,0,1,176666.62,0
3,1,1,0.0,0
3,0,1,89763.84,1
5,1,1,134954.53,0
5,0,1,0.0,1
2,1,1,106376.85,0
2,0,2,161814.64,0
8,1,2,0.0,0
9,0,2,0.0,0
1,1,1,63095.01,0
4,0,2,118287.01,0
7,1,1,106854.21,1
7,0,1,49512.55,0
9,0,2,0.0,0
1,0,2,105799.32,1
8,1,1,0.0,1
9,1,2,114722.05,0
7,1,1,0.0,0
2,1,2,0.0,0
10,0,1,0.0,1
6,1,1,99564.22,1
4,0,2,170557.91,0
9,1,2,0.0,0
6,1,3,74596.15,1
2,0,1,96888.39,1
3,0,1,130830.22,0
1,1,2,0.0,0
0,0,2,0.0,0
1,1,2,0.0,0
3,1,2,119714.25,0
5,1,2,113978.97,0
6,0,1,100160.75,1
2,1,1,0.0,0
3,0,3,116220.5,1
2,0,3,0.0,1
2,1,2,81173.83,0
4,0,2,0.0,0
5,0,1,116803.8,0
8,1,2,105961.68,0
6,1,1,117411.6,1
7,0,2,0.0,0
10,0,1,123497.58,1
7,0,2,152400.51,0
1,1,2,0.0,0
8,1,1,103097.85,0
8,0,1,126418.14,1
5,0,1,77846.9,0
1,1,2,0.0,0
0,1,2,0.0,0
2,1,1,79731.91,0
8,0,1,0.0,0
0,1,2,0.0,0
10,1,2,0.0,0
6,0,2,37266.67,0
6,1,1,127992.25,0
3,1,1,54901.01,0
9,1,2,108748.08,0
6,0,1,99906.19,0
6,0,2,184686.41,0
0,1,1,110654.02,0
9,1,1,79019.8,0
9,0,1,99240.51,0
2,1,2,0.0,0
7,0,2,0.0,0
7,0,1,0.0,1
7,0,1,52436.2,0
9,1,2,0.0,0
3,0,3,100337.96,1
1,1,2,149297.19,0
8,0,2,0.0,0
4,1,1,145605.44,0
7,1,2,0.0,0
3,1,1,0.0,1
10,0,2,0.0,0
6,1,1,84026.86,0
1,0,1,0.0,1
8,1,2,0.0,0
10,1,2,0.0,0
4,1,1,138718.92,1
7,1,1,118274.71,0
8,1,2,174185.98,0
7,0,2,113208.86,0
5,0,1,103907.28,0
8,0,1,119023.28,0
5,1,1,166297.89,0
10,0,2,0.0,0
9,1,1,63227.0,0
5,0,2,94521.17,0
7,0,2,0.0,0
9,0,1,112822.26,1
3,1,2,0.0,0
2,0,1,135903.33,0
4,1,1,125169.26,0
7,0,3,0.0,1
0,1,1,149117.31,0
5,1,2,0.0,0
10,0,2,0.0,0
6,0,1,132311.71,0
8,0,2,0.0,0
6,1,2,0.0,0
4,0,1,118082.89,0
1,1,1,119266.69,0
2,1,1,0.0,1
7,0,2,156847.29,0
4,0,1,137104.47,1
8,0,1,78398.69,0
4,1,2,0.0,0
6,0,1,63669.42,0
3,0,2,0.0,0
0,0,1,135296.33,0
2,1,1,153804.44,0
3,0,2,0.0,0
2,0,1,147069.78,1
9,1,2,0.0,0
3,0,1,0.0,0
4,0,1,95741.75,0
2,1,1,145965.33,0
8,1,1,141441.75,0
1,0,1,139290.41,1
4,0,2,0.0,0
3,0,2,0.0,0
4,0,1,144428.87,0
2,0,2,0.0,0
9,0,1,95441.27,1
1,1,1,144848.74,0
7,1,2,116244.14,0
7,1,2,0.0,0
1,0,1,146502.07,0
2,1,2,117028.6,0
8,0,1,112013.81,1
6,0,1,108269.37,0
7,0,1,182123.79,1
3,1,2,150923.74,0
2,0,2,0.0,0
5,0,1,165272.13,1
10,0,1,115301.31,1
6,1,2,129502.49,1
4,0,1,118342.26,0
5,1,2,0.0,0
8,0,2,0.0,0
7,0,2,0.0,0
7,0,2,0.0,0
9,0,2,106937.05,0
3,1,1,170331.37,0
1,1,1,114510.85,0
5,1,2,0.0,0
3,1,2,107594.11,0
2,1,1,81273.13,0
7,0,1,169399.6,0
6,1,2,0.0,0
1,1,2,187841.99,0
0,0,2,0.0,0
8,1,2,126776.3,0
9,0,1,126436.29,1
1,1,1,101960.74,0
3,1,2,0.0,0
3,1,2,0.0,0
2,1,1,150842.93,1
9,1,1,102535.57,0
9,0,2,99027.61,0
9,1,2,0.0,0
3,1,1,0.0,0
9,0,2,87271.41,0
8,1,2,102742.91,0
2,1,2,40105.51,0
2,0,1,152265.43,0
4,1,1,141947.67,0
1,1,2,106307.91,0
0,1,2,107884.81,0
1,1,1,125013.72,0
7,1,2,58469.37,0
8,1,1,0.0,0
10,1,3,117231.63,1
4,0,1,152390.26,0
2,0,1,34013.63,0
2,0,3,0.0,1
9,1,2,0.0,0
7,0,2,101583.11,0
10,1,2,77168.87,0
8,0,2,124695.72,0
3,0,1,105934.96,0
9,1,1,0.0,0
6,0,2,0.0,0
2,1,2,0.0,0
2,1,2,0.0,0
10,0,2,161525.96,0
7,1,1,147199.07,0
3,1,1,183102.29,0
9,0,2,127209.0,1
8,0,2,0.0,1
0,1,1,97378.54,0
2,1,2,136925.09,0
3,1,1,54503.55,0
8,0,1,155726.85,0
9,1,2,0.0,0
1,0,1,135842.41,1
1,0,1,63349.75,0
4,1,1,129499.42,0
8,1,2,0.0,0
6,1,2,70438.01,0
8,1,2,0.0,0
9,0,1,0.0,0
9,0,1,141434.04,1
4,0,2,0.0,0
10,1,2,152958.29,0
3,0,1,138306.34,0
10,0,2,0.0,0
1,1,2,0.0,0
3,1,1,124328.84,0
9,1,3,181461.48,1
8,0,2,0.0,0
8,0,2,0.0,0
5,0,1,110368.03,1
9,1,1,89588.35,0
6,0,2,0.0,0
6,0,2,0.0,0
3,0,1,115924.89,1
2,0,2,0.0,0
7,0,1,111756.5,1
4,0,1,0.0,0
9,0,1,0.0,0
9,0,1,162923.85,0
10,0,2,124576.65,0
0,1,1,80793.58,0
9,0,1,71340.09,0
1,0,1,99282.63,1
3,1,1,137946.39,1
2,1,2,127892.57,0
0,0,1,101084.36,0
8,0,1,114754.08,1
8,0,1,0.0,0
3,1,1,99286.98,0
4,0,2,79871.02,0
10,0,2,104088.59,0
2,0,2,168190.33,0
3,1,1,85679.25,0
3,0,1,0.0,0
9,0,2,0.0,0
7,1,2,121551.58,0
2,1,1,122220.19,0
3,0,1,116528.15,1
1,1,1,77780.29,0
2,0,1,0.0,0
4,1,1,125832.2,0
6,0,1,68065.8,1
6,0,2,127299.34,0
7,0,1,174937.64,0
9,1,2,0.0,0
7,0,1,110071.1,0
3,0,1,139432.37,0
6,1,1,127357.76,0
5,0,2,0.0,0
3,1,1,0.0,0
3,0,2,0.0,0
1,1,1,95556.31,1
8,1,1,0.0,0
1,1,2,111681.98,0
3,0,2,0.0,0
3,0,2,108738.71,0
4,1,1,133950.37,1
4,1,2,0.0,0
9,0,1,89968.69,0
9,1,2,0.0,0
5,0,3,130878.75,1
8,0,2,0.0,0
3,1,2,0.0,0
10,1,1,134169.62,0
1,0,1,149762.08,1
2,0,1,93844.69,0
8,0,2,0.0,0
1,0,2,0.0,0
6,0,1,141078.37,1
1,1,1,117992.59,0
8,0,2,100812.33,0
7,1,1,0.0,0
4,1,1,80262.6,0
6,1,1,156478.62,0
5,0,2,0.0,0
8,0,3,0.0,0
9,0,2,115217.99,0
9,0,2,0.0,1
0,1,1,155470.55,0
7,0,2,0.0,0
3,1,1,135096.77,1
2,1,2,0.0,0
9,1,1,180075.22,0
1,1,1,97541.24,0
2,1,1,156067.05,0
4,1,2,81550.94,0
6,0,1,0.0,1
2,0,2,170061.92,1
8,1,2,92310.54,0
6,0,2,169089.38,0
5,1,1,80613.93,0
8,1,2,121581.56,0
8,1,1,0.0,1
4,1,2,0.0,0
5,1,2,0.0,0
5,0,1,85891.55,1
9,1,2,77637.35,0
4,0,1,0.0,0
5,0,2,0.0,0
7,0,1,116927.89,0
6,0,1,137326.65,0
5,1,2,0.0,0
2,1,2,0.0,0
10,1,2,67238.98,0
6,0,2,86569.76,0
5,0,2,0.0,0
6,1,1,133598.4,0
3,1,1,136188.78,1
9,0,2,0.0,0
10,1,3,0.0,1
7,0,2,120092.52,0
4,1,2,101238.24,1
6,1,1,89685.92,0
1,0,1,211774.31,1
7,1,1,131317.48,0
5,1,2,93722.73,0
8,1,1,101160.99,0
3,0,1,120320.54,0
2,1,2,0.0,0
2,1,2,0.0,0
8,0,2,0.0,0
3,0,1,152827.99,1
1,1,1,64097.75,0
2,1,2,119035.35,0
4,1,1,135219.57,0
6,1,1,93694.42,0
10,0,1,59408.63,0
7,0,1,114354.95,0
1,0,1,0.0,1
10,0,2,128173.9,0
9,0,2,0.0,0
5,1,3,114931.35,1
1,0,1,111071.36,1
8,1,2,151226.18,0
9,1,2,0.0,0
4,1,1,64740.12,0
0,0,1,169312.13,1
7,1,3,0.0,1
2,0,2,112652.08,0
0,0,2,0.0,0
7,0,2,143964.36,0
7,1,2,122451.46,0
1,1,3,0.0,0
3,0,2,65253.07,0
6,1,1,106901.94,1
10,0,1,128509.63,0
7,0,2,0.0,0
3,0,1,129834.67,0
3,1,3,154962.99,1
5,0,2,138241.9,0
3,0,1,91536.93,1
3,1,2,0.0,0
5,1,1,0.0,0
7,1,1,105204.01,0
1,1,1,152968.73,0
8,1,1,158261.68,0
1,0,1,0.0,1
6,1,1,121021.05,0
4,1,2,0.0,0
2,0,1,0.0,1
1,1,1,137715.66,0
5,1,2,121192.22,0
7,1,3,0.0,0
1,1,2,100486.18,0
1,0,1,0.0,1
9,0,2,92566.53,0
10,1,2,0.0,1
3,1,1,110929.96,0
8,1,2,0.0,0
3,0,1,138901.61,0
4,1,2,123217.66,0
6,0,1,0.0,0
2,1,2,0.0,0
8,0,2,0.0,0
2,1,2,108431.87,1
3,1,2,0.0,0
9,0,1,72392.41,0
1,0,2,119741.77,1
2,0,1,100946.71,1
9,0,1,170491.84,1
5,1,1,0.0,0
1,0,1,0.0,0
6,0,2,157296.02,1
7,1,1,144606.22,1
8,0,1,134811.3,0
9,1,1,115897.12,0
4,0,1,82034.0,0
4,1,2,174318.13,0
2,0,1,114206.84,0
9,0,2,0.0,0
9,1,1,111574.41,0
5,0,1,162448.69,1
4,1,1,148249.54,0
8,1,3,0.0,1
7,1,2,123709.46,0
9,1,1,0.0,0
5,0,1,0.0,1
10,1,1,150525.8,0
9,1,1,0.0,0
4,1,2,0.0,0
10,0,2,0.0,0
5,1,2,0.0,0
2,0,1,111018.98,0
10,0,1,129755.99,0
6,0,2,0.0,0
2,1,1,129555.7,0
1,1,1,87202.38,0
8,1,1,146133.39,0
0,0,1,0.0,1
6,0,2,170184.99,0
8,0,1,140745.33,1
7,1,1,139070.51,0
8,1,2,0.0,0
9,0,1,114193.24,0
10,1,1,167878.5,0
5,1,2,141616.55,0
3,1,2,145747.67,0
2,1,1,129120.64,0
7,0,1,110349.82,0
1,1,1,141325.56,0
2,0,1,78653.84,0
1,1,2,0.0,0
3,0,1,142253.65,0
1,0,1,0.0,1
6,0,1,115988.86,1
10,0,1,75592.43,0
3,1,2,164113.04,0
6,0,2,67996.23,1
5,0,2,0.0,0
1,0,2,0.0,0
1,1,1,138778.15,0
10,1,1,147832.15,0
4,0,1,135438.4,0
5,0,1,116060.08,1
5,0,1,112564.62,0
1,1,1,125406.58,0
5,0,1,135134.99,1
9,0,1,133102.92,1
8,0,1,42157.08,1
3,1,2,0.0,0
7,0,1,82259.29,0
4,0,2,0.0,0
6,1,2,0.0,0
4,1,2,0.0,0
7,1,1,0.0,0
3,0,1,150461.07,0
4,1,1,133994.52,1
8,1,2,164870.81,0
8,1,1,121702.73,0
6,1,1,193858.2,0
1,1,2,131039.97,0
9,1,1,113829.45,0
6,0,2,0.0,0
3,1,1,81877.38,0
8,1,1,116326.07,0
2,1,2,0.0,0
4,1,2,0.0,0
1,1,2,0.0,0
9,1,2,0.0,0
3,1,1,127070.73,0
3,1,2,0.0,0
3,1,1,122549.64,0
5,1,1,176099.13,0
3,0,2,122388.38,0
9,1,2,0.0,0
0,0,1,0.0,0
6,1,2,118879.35,0
5,1,2,0.0,0
5,1,2,0.0,0
4,0,2,88736.44,0
7,1,1,102703.62,1
1,1,2,0.0,0
3,0,2,0.0,0
5,1,1,97318.25,0
5,1,1,128468.69,0
4,1,1,133432.59,0
8,0,2,141782.57,0
9,0,1,135125.28,0
2,0,1,178820.91,1
2,1,2,112212.14,0
5,0,1,126674.81,1
7,0,1,136294.97,1
5,0,1,66392.64,0
1,0,2,122552.34,0
1,0,2,76408.85,0
8,0,1,145071.24,0
6,1,2,0.0,0
2,1,1,109730.22,0
6,1,2,0.0,0
1,1,1,64119.38,1
1,1,2,106138.33,1
2,1,2,0.0,0
0,1,1,181656.51,0
5,0,2,0.0,0
7,0,1,95128.86,0
2,1,2,126615.94,0
1,1,2,0.0,0
2,1,2,76190.48,0
5,0,3,168286.81,1
4,1,1,88109.81,0
4,0,2,0.0,0
8,1,2,0.0,0
3,0,2,123971.51,0
0,0,1,148116.48,0
6,0,1,116269.01,0
1,0,1,120599.21,0
3,0,1,144260.5,0
3,0,3,86605.5,1
9,0,2,0.0,0
4,0,1,58629.97,0
5,0,2,0.0,0
10,0,2,0.0,0
5,1,1,0.0,0
2,1,2,209767.31,1
6,1,2,129634.25,1
1,0,2,0.0,0
2,0,1,169824.46,0
3,1,1,97530.25,0
10,1,2,145988.65,0
9,1,2,0.0,0
7,1,3,0.0,0
5,0,1,137494.28,0
1,0,1,0.0,1
6,1,1,147360.0,0
10,0,2,0.0,0
3,0,1,125167.02,0
9,0,2,121152.05,1
7,1,1,128981.07,1
6,1,1,0.0,0
6,1,1,151858.98,0
2,1,1,114628.4,0
6,0,2,0.0,0
8,0,2,95059.02,0
7,1,1,128736.39,0
8,1,1,156325.38,0
7,1,1,105405.97,0
2,0,3,88915.37,1
8,1,2,0.0,0
5,1,2,0.0,0
2,0,1,160980.03,0
5,0,1,177619.71,0
2,1,1,62276.99,0
4,1,2,127559.97,0
0,1,2,0.0,0
9,0,1,95523.16,0
7,1,1,107749.03,0
2,0,2,110777.26,0
5,0,2,166733.92,0
9,0,2,157120.86,0
2,0,2,127160.78,0
2,1,2,0.0,0
9,0,1,156091.97,0
5,1,1,98668.18,0
5,0,1,134022.06,0
5,0,1,124151.09,1
6,0,1,77253.5,1
1,0,1,114292.48,0
2,1,3,140080.32,1
2,0,1,135277.96,0
2,1,2,0.0,0
9,0,2,115920.62,1
2,0,2,119782.72,0
1,1,1,114715.71,1
2,0,2,129748.54,1
4,0,1,129722.57,0
2,1,2,0.0,0
3,0,1,139180.2,0
6,0,2,113599.74,1
7,1,1,134944.0,0
7,0,1,116922.25,1
9,0,1,118945.09,1
8,1,2,0.0,0
8,0,1,119182.73,0
8,0,2,0.0,0
1,1,2,71264.02,0
2,1,2,0.0,0
8,0,2,0.0,0
7,1,1,116313.57,1
5,1,1,92140.15,0
1,1,2,0.0,0
2,1,1,177640.09,0
0,0,2,0.0,0
8,1,1,167997.6,0
2,1,2,82275.35,0
3,1,2,0.0,0
6,0,1,111962.99,0
1,1,1,131736.88,0
1,0,1,0.0,0
8,0,2,108239.11,0
9,1,1,98444.19,0
3,0,1,114540.38,0
6,1,2,187530.66,0
9,1,1,133636.16,0
7,1,2,0.0,0
0,1,2,84745.03,0
7,1,2,120599.38,0
9,1,2,0.0,0
4,1,2,127771.35,0
9,0,1,0.0,1
0,0,1,0.0,0
5,1,2,0.0,0
10,1,1,167772.96,0
6,0,1,95845.6,0
10,0,2,0.0,0
7,1,2,134714.7,0
3,1,2,0.0,0
8,1,3,122384.22,1
2,0,2,0.0,0
5,0,2,157993.15,0
8,0,2,0.0,0
2,0,1,123331.36,1
9,1,1,75263.16,0
6,0,2,137824.03,0
4,0,2,132578.92,0
5,0,1,156021.31,0
8,0,1,0.0,0
9,1,1,137453.43,1
4,0,2,0.0,0
8,1,2,164284.72,0
5,1,2,0.0,0
1,1,2,0.0,0
2,1,2,112373.49,0
10,0,2,0.0,0
6,1,2,0.0,0
5,1,1,0.0,0
1,1,1,154333.82,0
3,1,2,111432.77,0
6,0,2,0.0,0
2,0,2,137390.11,0
3,1,2,0.0,0
5,1,1,111642.08,0
3,1,1,0.0,1
4,0,1,83543.37,0
6,0,1,145338.76,1
1,0,1,186796.37,0
8,1,1,58641.43,0
5,0,1,0.0,1
3,0,1,137148.68,0
7,0,1,80001.23,0
6,0,2,86402.52,0
5,0,2,0.0,0
1,1,1,122874.74,0
0,1,1,97544.29,0
1,0,2,170826.55,0
1,0,2,97133.92,1
8,1,1,153895.65,0
6,1,2,0.0,0
8,1,2,0.0,0
4,0,2,0.0,0
5,0,1,134956.02,1
7,1,2,143637.58,0
9,1,1,147506.25,0
1,0,2,0.0,1
8,0,1,190227.46,1
2,0,1,172448.77,1
7,1,1,113980.21,0
6,1,2,0.0,0
4,0,2,0.0,0
10,1,2,76968.12,0
1,1,2,88293.13,0
1,0,1,170833.46,1
6,0,2,108122.39,1
4,1,1,0.0,0
8,1,1,0.0,0
7,0,3,129818.39,1
2,1,2,163943.89,0
7,0,2,0.0,0
5,1,2,101430.3,0
9,0,1,117301.66,0
1,1,1,173340.83,0
4,1,2,0.0,0
3,0,1,134348.57,0
9,1,2,105525.65,0
6,0,1,0.0,1
4,0,3,0.0,1
6,0,1,106192.1,0
4,0,1,45144.43,1
7,1,1,92113.61,0
7,1,2,0.0,0
0,0,1,128366.44,0
2,1,2,0.0,0
3,1,1,106545.53,0
8,1,1,145618.37,0
8,0,1,141541.25,0
2,1,2,57017.06,0
9,0,1,0.0,0
3,1,3,0.0,1
8,0,2,125884.95,1
5,1,1,61825.5,0
8,0,2,0.0,0
6,0,1,0.0,0
2,0,1,102967.41,1
2,0,1,171770.55,0
1,0,2,93051.64,1
7,1,2,161064.64,0
7,1,1,90612.34,0
5,0,2,145105.64,0
4,0,1,0.0,1
9,1,1,0.0,1
6,1,1,174912.72,0
1,0,1,104947.72,1
10,1,1,135213.71,0
7,0,2,0.0,0
6,1,2,116229.85,0
6,1,1,111201.41,0
4,0,1,0.0,0
1,0,1,131899.0,0
10,1,1,124525.52,0
6,0,1,0.0,0
6,1,1,0.0,1
3,1,1,47134.75,0
3,0,2,0.0,0
9,0,2,0.0,0
5,1,2,0.0,0
1,0,1,0.0,1
5,0,3,0.0,1
1,1,1,138657.08,0
9,1,1,70302.48,0
1,1,2,101609.01,0
3,1,1,0.0,0
5,1,1,130170.82,0
8,1,2,133802.29,0
7,0,1,106234.02,0
6,0,1,132628.98,0
9,1,2,103522.75,0
8,0,2,192390.52,0
1,1,1,0.0,1
9,1,3,0.0,0
3,1,2,0.0,0
8,1,1,109922.61,1
5,1,1,128605.32,0
4,1,1,0.0,0
10,0,1,68598.56,0
1,1,1,106518.52,0
8,0,2,0.0,0
6,0,1,0.0,1
8,0,1,121326.42,0
8,0,1,67226.37,0
5,1,2,82931.85,0
4,0,1,0.0,1
5,1,1,118590.41,1
4,1,1,145981.87,0
3,0,1,73309.38,1
8,1,2,130796.33,0
8,0,1,151607.56,0
9,1,1,111577.01,0
0,1,1,107042.74,0
2,1,2,156371.61,1
4,0,1,129605.99,0
0,1,2,0.0,0
8,1,2,0.0,0
8,0,1,132576.25,0
6,1,1,129101.3,0
1,1,1,108822.4,0
4,0,1,137948.51,0
7,1,1,100433.8,0
4,0,3,96134.11,1
4,1,1,115888.04,1
5,1,1,124626.07,0
6,1,1,139810.34,0
9,0,2,0.0,0
3,0,1,84496.71,0
9,1,2,116854.71,0
10,1,1,138333.03,0
3,1,2,0.0,0
5,0,2,78992.75,0
7,1,2,97257.41,0
5,0,2,122453.37,0
8,1,1,112940.07,0
8,0,1,132558.26,1
4,0,2,0.0,0
8,0,1,133297.24,0
7,0,2,0.0,0
0,0,1,197041.8,0
0,0,2,71497.79,0
7,1,2,0.0,0
6,0,1,128100.28,1
1,1,2,124532.78,0
9,1,2,82293.82,0
1,0,1,142120.91,0
0,0,1,151839.26,1
7,1,2,149620.88,0
3,0,1,168197.66,1
5,0,2,93147.0,0
2,1,2,97440.02,0
3,1,2,65046.08,0
7,0,1,95357.49,0
9,0,2,123105.88,0
9,1,3,0.0,0
3,1,2,0.0,0
7,1,1,121286.27,0
4,1,2,167738.82,0
1,0,1,104091.29,0
8,0,2,121980.56,0
10,1,2,0.0,0
1,1,2,50880.98,0
3,0,2,175159.9,1
7,0,2,105514.69,0
5,0,3,116497.31,1
6,0,2,0.0,0
7,1,1,99824.45,0
6,0,1,0.0,1
0,1,1,0.0,0
10,0,1,0.0,1
3,1,1,122964.88,0
4,1,2,0.0,0
4,1,2,0.0,0
3,1,2,0.0,0
5,1,1,89634.69,1
7,0,2,95710.11,0
7,0,1,139706.31,0
5,0,1,103909.86,1
1,0,1,0.0,0
6,0,1,173434.9,1
6,1,2,102238.01,0
1,1,2,179380.74,0
3,1,2,0.0,0
4,0,1,108691.95,0
4,0,2,0.0,0
6,0,2,0.0,0
0,1,1,133377.8,0
9,1,2,0.0,0
10,1,1,0.0,0
1,0,1,116537.6,0
3,0,2,0.0,0
4,1,2,0.0,0
1,1,2,130131.08,0
3,1,2,0.0,0
0,0,1,0.0,0
2,0,1,107316.09,0
1,1,2,0.0,0
1,1,1,83181.29,0
3,1,1,0.0,0
3,1,1,153946.14,0
5,0,2,0.0,0
7,0,1,135483.17,1
1,0,2,0.0,0
4,1,2,119624.54,0
6,0,2,121132.26,0
1,0,1,0.0,1
4,0,1,0.0,1
5,0,1,54817.55,0
3,0,1,107949.45,1
4,1,1,0.0,0
2,1,1,80816.45,0
3,0,1,98205.77,0
6,1,1,94684.27,0
7,0,1,141604.76,0
3,1,2,0.0,0
3,0,2,0.0,0
1,0,1,122949.14,1
8,0,2,81677.22,0
7,0,1,80293.98,0
8,0,1,155413.06,0
4,1,2,0.0,0
9,0,1,67111.65,1
5,1,1,103818.43,0
4,1,2,0.0,0
4,0,2,152169.12,1
10,1,1,0.0,1
4,0,2,214346.96,0
6,0,1,0.0,1
7,0,1,113348.14,1
5,0,1,170935.94,1
8,1,1,103023.26,0
6,1,2,0.0,0
6,0,2,0.0,0
7,1,2,111855.04,0
6,1,2,140348.56,0
8,0,2,0.0,0
3,0,1,145512.84,0
8,1,2,146720.98,0
10,1,1,107209.73,0
7,1,1,130933.74,0
8,0,1,0.0,0
0,0,1,89772.3,1
5,0,2,0.0,0
8,0,2,0.0,0
5,0,1,0.0,1
2,0,3,100749.5,1
10,0,2,0.0,0
2,1,2,0.0,0
3,1,2,123981.31,0
4,1,1,91622.42,0
7,1,1,126195.81,0
4,1,1,94267.9,1
4,1,2,0.0,0
0,0,2,0.0,0
4,0,1,0.0,1
3,1,3,100717.85,1
6,0,2,0.0,0
4,0,2,141581.71,0
7,1,2,0.0,0
2,1,1,148586.64,0
9,0,2,0.0,0
7,0,2,0.0,0
