Bank_Profile_Key,Tenure,Active_Member,Products_Number,Balance,Complain
287,5,0,1,103907.28,0
288,8,0,1,119023.28,0
289,5,1,1,166297.89,0
290,10,0,2,0.0,0
291,9,1,1,63227.0,0
292,5,0,2,94521.17,0
293,7,0,2,0.0,0
294,9,0,1,112822.26,1
295,3,1,2,0.0,0
296,2,0,1,135903.33,0
297,4,1,1,125169.26,0
298,7,0,3,0.0,1
299,0,1,1,149117.31,0
300,5,1,2,0.0,0
301,10,0,2,0.0,0
302,6,0,1,132311.71,0
303,8,0,2,0.0,0
304,6,1,2,0.0,0
305,4,0,1,118082.89,0
306,1,1,1,119266.69,0
307,2,1,1,0.0,1
308,7,0,2,156847.29,0
309,4,0,1,137104.47,1
310,8,0,1,78398.69,0
311,4,1,2,0.0,0
312,6,0,1,63669.42,0
313,3,0,2,0.0,0
314,0,0,1,135296.33,0
315,2,1,1,153804.44,0
316,3,0,2,0.0,0
317,2,0,1,147069.78,1
318,9,1,2,0.0,0
319,3,0,1,0.0,0
320,4,0,1,95741.75,0
321,2,1,1,145965.33,0
322,8,1,1,141441.75,0
323,1,0,1,139290.41,1
324,4,0,2,0.0,0
325,3,0,2,0.0,0
326,4,0,1,144428.87,0
327,2,0,2,0.0,0
328,9,0,1,95441.27,1
329,1,1,1,144848.74,0
330,7,1,2,116244.14,0
331,7,1,2,0.0,0
332,1,0,1,146502.07,0
333,2,1,2,117028.6,0
334,8,0,1,112013.81,1
335,6,0,1,108269.37,0
336,7,0,1,182123.79,1
337,3,1,2,150923.74,0
338,2,0,2,0.0,0
339,5,0,1,165272.13,1
340,10,0,1,115301.31,1
341,6,1,2,129502.49,1
342,4,0,1,118342.26,0
343,5,1,2,0.0,0
344,8,0,2,0.0,0
345,7,0,2,0.0,0
346,7,0,2,0.0,0
347,9,0,2,106937.05,0
348,3,1,1,170331.37,0
349,1,1,1,114510.85,0
350,5,1,2,0.0,0
351,3,1,2,107594.11,0
352,2,1,1,81273.13,0
353,7,0,1,169399.6,0
354,6,1,2,0.0,0
355,1,1,2,187841.99,0
356,0,0,2,0.0,0
357,8,1,2,126776.3,0
358,9,0,1,126436.29,1
359,1,1,1,101960.74,0
360,3,1,2,0.0,0
361,3,1,2,0.0,0
362,2,1,1,150842.93,1
363,9,1,1,102535.57,0
364,9,0,2,99027.61,0
365,9,1,2,0.0,0
366,3,1,1,0.0,0
367,9,0,2,87271.41,0
368,8,1,2,102742.91,0
369,2,1,2,40105.51,0
370,2,0,1,152265.43,0
371,4,1,1,141947.67,0
372,1,1,2,106307.91,0
373,0,1,2,107884.81,0
374,1,1,1,125013.72,0
375,7,1,2,58469.37,0
376,8,1,1,0.0,0
377,10,1,3,117231.63,1
378,4,0,1,152390.26,0
379,2,0,1,34013.63,0
380,2,0,3,0.0,1
381,9,1,2,0.0,0
382,7,0,2,101583.11,0
383,10,1,2,77168.87,0
384,8,0,2,124695.72,0
385,3,0,1,105934.96,0
386,9,1,1,0.0,0
387,6,0,2,0.0,0
388,2,1,2,0.0,0
389,2,1,2,0.0,0
390,10,0,2,161525.96,0
391,7,1,1,147199.07,0
392,3,1,1,183102.29,0
393,9,0,2,127209.0,1
394,8,0,2,0.0,1
395,0,1,1,97378.54,0
396,2,1,2,136925.09,0
397,3,1,1,54503.55,0
398,8,0,1,155726.85,0
399,9,1,2,0.0,0
400,1,0,1,135842.41,1
401,1,0,1,63349.75,0
402,4,1,1,129499.42,0
403,8,1,2,0.0,0
404,6,1,2,70438.01,0
405,8,1,2,0.0,0
406,9,0,1,0.0,0
407,9,0,1,141434.04,1
408,4,0,2,0.0,0
409,10,1,2,152958.29,0
410,3,0,1,138306.34,0
411,10,0,2,0.0,0
412,1,1,2,0.0,0
413,3,1,1,124328.84,0
414,9,1,3,181461.48,1
415,8,0,2,0.0,0
416,8,0,2,0.0,0
417,5,0,1,110368.03,1
418,9,1,1,89588.35,0
419,6,0,2,0.0,0
420,6,0,2,0.0,0
421,3,0,1,115924.89,1
422,2,0,2,0.0,0
423,7,0,1,111756.5,1
424,4,0,1,0.0,0
425,9,0,1,0.0,0
426,9,0,1,162923.85,0
427,10,0,2,124576.65,0
428,0,1,1,80793.58,0
429,9,0,1,71340.09,0
430,1,0,1,99282.63,1
431,3,1,1,137946.39,1
432,2,1,2,127892.57,0
433,0,0,1,101084.36,0
434,8,0,1,114754.08,1
435,8,0,1,0.0,0
436,3,1,1,99286.98,0
437,4,0,2,79871.02,0
438,10,0,2,104088.59,0
439,2,0,2,168190.33,0
440,3,1,1,85679.25,0
441,3,0,1,0.0,0
442,9,0,2,0.0,0
443,7,1,2,121551.58,0
444,2,1,1,122220.19,0
445,3,0,1,116528.15,1
446,1,1,1,77780.29,0
447,2,0,1,0.0,0
448,4,1,1,125832.2,0
449,6,0,1,68065.8,1
450,6,0,2,127299.34,0
451,7,0,1,174937.64,0
452,9,1,2,0.0,0
453,7,0,1,110071.1,0
454,3,0,1,139432.37,0
455,6,1,1,127357.76,0
456,5,0,2,0.0,0
457,3,1,1,0.0,0
458,3,0,2,0.0,0
459,1,1,1,95556.31,1
460,8,1,1,0.0,0
461,1,1,2,111681.98,0
462,3,0,2,0.0,0
463,3,0,2,108738.71,0
464,4,1,1,133950.37,1
465,4,1,2,0.0,0
466,9,0,1,89968.69,0
467,9,1,2,0.0,0
468,5,0,3,130878.75,1
469,8,0,2,0.0,0
470,3,1,2,0.0,0
471,10,1,1,134169.62,0
472,1,0,1,149762.08,1
473,2,0,1,93844.69,0
474,8,0,2,0.0,0
475,1,0,2,0.0,0
476,6,0,1,141078.37,1
477,1,1,1,117992.59,0
478,8,0,2,100812.33,0
479,7,1,1,0.0,0
480,4,1,1,80262.6,0
481,6,1,1,156478.62,0
482,5,0,2,0.0,0
483,8,0,3,0.0,0
484,9,0,2,115217.99,0
485,9,0,2,0.0,1
486,0,1,1,155470.55,0
487,7,0,2,0.0,0
488,3,1,1,135096.77,1
489,2,1,2,0.0,0
490,9,1,1,180075.22,0
491,1,1,1,97541.24,0
492,2,1,1,156067.05,0
493,4,1,2,81550.94,0
494,6,0,1,0.0,1
495,2,0,2,170061.92,1
496,8,1,2,92310.54,0
497,6,0,2,169089.38,0
498,5,1,1,80613.93,0
499,8,1,2,121581.56,0
500,8,1,1,0.0,1
501,4,1,2,0.0,0
502,5,1,2,0.0,0
503,5,0,1,85891.55,1
504,9,1,2,77637.35,0
505,4,0,1,0.0,0
506,5,0,2,0.0,0
507,7,0,1,116927.89,0
508,6,0,1,137326.65,0
509,5,1,2,0.0,0
510,2,1,2,0.0,0
511,10,1,2,67238.98,0
512,6,0,2,86569.76,0
513,5,0,2,0.0,0
514,6,1,1,133598.4,0
515,3,1,1,136188.78,1
516,9,0,2,0.0,0
517,10,1,3,0.0,1
518,7,0,2,120092.52,0
519,4,1,2,101238.24,1
520,6,1,1,89685.92,0
521,1,0,1,211774.31,1
522,7,1,1,131317.48,0
523,5,1,2,93722.73,0
524,8,1,1,101160.99,0
525,3,0,1,120320.54,0
526,2,1,2,0.0,0
527,2,1,2,0.0,0
528,8,0,2,0.0,0
529,3,0,1,152827.99,1
530,1,1,1,64097.75,0
531,2,1,2,119035.35,0
532,4,1,1,135219.57,0
533,6,1,1,93694.42,0
534,10,0,1,59408.63,0
535,7,0,1,114354.95,0
536,1,0,1,0.0,1
537,10,0,2,128173.9,0
538,9,0,2,0.0,0
539,5,1,3,114931.35,1
540,1,0,1,111071.36,1
541,8,1,2,151226.18,0
542,9,1,2,0.0,0
543,4,1,1,64740.12,0
544,0,0,1,169312.13,1
545,7,1,3,0.0,1
546,2,0,2,112652.08,0
547,0,0,2,0.0,0
548,7,0,2,143964.36,0
549,7,1,2,122451.46,0
550,1,1,3,0.0,0
551,3,0,2,65253.07,0
552,6,1,1,106901.94,1
553,10,0,1,128509.63,0
554,7,0,2,0.0,0
555,3,0,1,129834.67,0
556,3,1,3,154962.99,1
557,5,0,2,138241.9,0
558,3,0,1,91536.93,1
559,3,1,2,0.0,0
560,5,1,1,0.0,0
561,7,1,1,105204.01,0
562,1,1,1,152968.73,0
563,8,1,1,158261.68,0
564,1,0,1,0.0,1
565,6,1,1,121021.05,0
566,4,1,2,0.0,0
567,2,0,1,0.0,1
568,1,1,1,137715.66,0
569,5,1,2,121192.22,0
570,7,1,3,0.0,0
571,1,1,2,100486.18,0
572,1,0,1,0.0,1
573,9,0,2,92566.53,0
574,10,1,2,0.0,1
575,3,1,1,110929.96,0
576,8,1,2,0.0,0
577,3,0,1,138901.61,0
578,4,1,2,123217.66,0
579,6,0,1,0.0,0
580,2,1,2,0.0,0
581,8,0,2,0.0,0
582,2,1,2,108431.87,1
583,3,1,2,0.0,0
584,9,0,1,72392.41,0
585,1,0,2,119741.77,1
586,2,0,1,100946.71,1
587,9,0,1,170491.84,1
588,5,1,1,0.0,0
589,1,0,1,0.0,0
590,6,0,2,157296.02,1
591,7,1,1,144606.22,1
592,8,0,1,134811.3,0
593,9,1,1,115897.12,0
594,4,0,1,82034.0,0
595,4,1,2,174318.13,0
596,2,0,1,114206.84,0
597,9,0,2,0.0,0
598,9,1,1,111574.41,0
599,5,0,1,162448.69,1
600,4,1,1,148249.54,0
601,8,1,3,0.0,1
602,7,1,2,123709.46,0
603,9,1,1,0.0,0
604,5,0,1,0.0,1
605,10,1,1,150525.8,0
606,9,1,1,0.0,0
607,4,1,2,0.0,0
608,10,0,2,0.0,0
609,5,1,2,0.0,0
610,2,0,1,111018.98,0
611,10,0,1,129755.99,0
612,6,0,2,0.0,0
613,2,1,1,129555.7,0
614,1,1,1,87202.38,0
615,8,1,1,146133.39,0
616,0,0,1,0.0,1
617,6,0,2,170184.99,0
618,8,0,1,140745.33,1
619,7,1,1,139070.51,0
620,8,1,2,0.0,0
621,9,0,1,114193.24,0
622,10,1,1,167878.5,0
623,5,1,2,141616.55,0
624,3,1,2,145747.67,0
625,2,1,1,129120.64,0
626,7,0,1,110349.82,0
627,1,1,1,141325.56,0
628,2,0,1,78653.84,0
629,1,1,2,0.0,0
630,3,0,1,142253.65,0
631,1,0,1,0.0,1
632,6,0,1,115988.86,1
633,10,0,1,75592.43,0
634,3,1,2,164113.04,0
635,6,0,2,67996.23,1
636,5,0,2,0.0,0
637,1,0,2,0.0,0
638,1,1,1,138778.15,0
639,10,1,1,147832.15,0
640,4,0,1,135438.4,0
641,5,0,1,116060.08,1
642,5,0,1,112564.62,0
643,1,1,1,125406.58,0
644,5,0,1,135134.99,1
645,9,0,1,133102.92,1
646,8,0,1,42157.08,1
647,3,1,2,0.0,0
648,7,0,1,82259.29,0
649,4,0,2,0.0,0
650,6,1,2,0.0,0
651,4,1,2,0.0,0
652,7,1,1,0.0,0
653,3,0,1,150461.07,0
654,4,1,1,133994.52,1
655,8,1,2,164870.81,0
656,8,1,1,121702.73,0
657,6,1,1,193858.2,0
658,1,1,2,131039.97,0
659,9,1,1,113829.45,0
660,6,0,2,0.0,0
661,3,1,1,81877.38,0
662,8,1,1,116326.07,0
663,2,1,2,0.0,0
664,4,1,2,0.0,0
665,1,1,2,0.0,0
666,9,1,2,0.0,0
667,3,1,1,127070.73,0
668,3,1,2,0.0,0
669,3,1,1,122549.64,0
670,5,1,1,176099.13,0
671,3,0,2,122388.38,0
672,9,1,2,0.0,0
673,0,0,1,0.0,0
674,6,1,2,118879.35,0
675,5,1,2,0.0,0
676,5,1,2,0.0,0
677,4,0,2,88736.44,0
678,7,1,1,102703.62,1
679,1,1,2,0.0,0
680,3,0,2,0.0,0
681,5,1,1,97318.25,0
682,5,1,1,128468.69,0
683,4,1,1,133432.59,0
684,8,0,2,141782.57,0
685,9,0,1,135125.28,0
686,2,0,1,178820.91,1
687,2,1,2,112212.14,0
688,5,0,1,126674.81,1
689,7,0,1,136294.97,1
690,5,0,1,66392.64,0
691,1,0,2,122552.34,0
692,1,0,2,76408.85,0
693,8,0,1,145071.24,0
694,6,1,2,0.0,0
695,2,1,1,109730.22,0
696,6,1,2,0.0,0
697,1,1,1,64119.38,1
698,1,1,2,106138.33,1
699,2,1,2,0.0,0
700,0,1,1,181656.51,0
701,5,0,2,0.0,0
702,7,0,1,95128.86,0
703,2,1,2,126615.94,0
704,1,1,2,0.0,0
705,2,1,2,76190.48,0
706,5,0,3,168286.81,1
707,4,1,1,88109.81,0
708,4,0,2,0.0,0
709,8,1,2,0.0,0
710,3,0,2,123971.51,0
711,0,0,1,148116.48,0
712,6,0,1,116269.01,0
713,1,0,1,120599.21,0
714,3,0,1,144260.5,0
715,3,0,3,86605.5,1
716,9,0,2,0.0,0
717,4,0,1,58629.97,0
718,5,0,2,0.0,0
719,10,0,2,0.0,0
720,5,1,1,0.0,0
721,2,1,2,209767.31,1
722,6,1,2,129634.25,1
723,1,0,2,0.0,0
724,2,0,1,169824.46,0
725,3,1,1,97530.25,0
726,10,1,2,145988.65,0
727,9,1,2,0.0,0
728,7,1,3,0.0,0
729,5,0,1,137494.28,0
730,1,0,1,0.0,1
731,6,1,1,147360.0,0
732,10,0,2,0.0,0
733,3,0,1,125167.02,0
734,9,0,2,121152.05,1
735,7,1,1,128981.07,1
736,6,1,1,0.0,0
737,6,1,1,151858.98,0
738,2,1,1,114628.4,0
739,6,0,2,0.0,0
740,8,0,2,95059.02,0
741,7,1,1,128736.39,0
742,8,1,1,156325.38,0
743,7,1,1,105405.97,0
744,2,0,3,88915.37,1
745,8,1,2,0.0,0
746,5,1,2,0.0,0
747,2,0,1,160980.03,0
748,5,0,1,177619.71,0
749,2,1,1,62276.99,0
750,4,1,2,127559.97,0
751,0,1,2,0.0,0
752,9,0,1,95523.16,0
753,7,1,1,107749.03,0
754,2,0,2,110777.26,0
755,5,0,2,166733.92,0
756,9,0,2,157120.86,0
757,2,0,2,127160.78,0
758,2,1,2,0.0,0
759,9,0,1,156091.97,0
760,5,1,1,98668.18,0
761,5,0,1,134022.06,0
762,5,0,1,124151.09,1
763,6,0,1,77253.5,1
764,1,0,1,114292.48,0
765,2,1,3,140080.32,1
766,2,0,1,135277.96,0
767,2,1,2,0.0,0
768,9,0,2,115920.62,1
769,2,0,2,119782.72,0
770,1,1,1,114715.71,1
771,2,0,2,129748.54,1
772,4,0,1,129722.57,0
773,2,1,2,0.0,0
774,3,0,1,139180.2,0
775,6,0,2,113599.74,1
776,7,1,1,134944.0,0
777,7,0,1,116922.25,1
778,9,0,1,118945.09,1
779,8,1,2,0.0,0
780,8,0,1,119182.73,0
781,8,0,2,0.0,0
782,1,1,2,71264.02,0
783,2,1,2,0.0,0
784,8,0,2,0.0,0
785,7,1,1,116313.57,1
786,5,1,1,92140.15,0
787,1,1,2,0.0,0
788,2,1,1,177640.09,0
789,0,0,2,0.0,0
790,8,1,1,167997.6,0
791,2,1,2,82275.35,0
792,3,1,2,0.0,0
793,6,0,1,111962.99,0
794,1,1,1,131736.88,0
795,1,0,1,0.0,0
796,8,0,2,108239.11,0
797,9,1,1,98444.19,0
798,3,0,1,114540.38,0
799,6,1,2,187530.66,0
800,9,1,1,133636.16,0
801,7,1,2,0.0,0
802,0,1,2,84745.03,0
803,7,1,2,120599.38,0
804,9,1,2,0.0,0
805,4,1,2,127771.35,0
806,9,0,1,0.0,1
807,0,0,1,0.0,0
808,5,1,2,0.0,0
809,10,1,1,167772.96,0
810,6,0,1,95845.6,0
811,10,0,2,0.0,0
812,7,1,2,134714.7,0
813,3,1,2,0.0,0
814,8,1,3,122384.22,1
815,2,0,2,0.0,0
816,5,0,2,157993.15,0
817,8,0,2,0.0,0
818,2,0,1,123331.36,1
819,9,1,1,75263.16,0
820,6,0,2,137824.03,0
821,4,0,2,132578.92,0
822,5,0,1,156021.31,0
823,8,0,1,0.0,0
824,9,1,1,137453.43,1
825,4,0,2,0.0,0
826,8,1,2,164284.72,0
827,5,1,2,0.0,0
828,1,1,2,0.0,0
829,2,1,2,112373.49,0
830,10,0,2,0.0,0
831,6,1,2,0.0,0
832,5,1,1,0.0,0
833,1,1,1,154333.82,0
834,3,1,2,111432.77,0
835,6,0,2,0.0,0
836,2,0,2,137390.11,0
837,3,1,2,0.0,0
838,5,1,1,111642.08,0
839,3,1,1,0.0,1
840,4,0,1,83543.37,0
841,6,0,1,145338.76,1
842,1,0,1,186796.37,0
843,8,1,1,58641.43,0
844,5,0,1,0.0,1
845,3,0,1,137148.68,0
846,7,0,1,80001.23,0
847,6,0,2,86402.52,0
848,5,0,2,0.0,0
849,1,1,1,122874.74,0
850,0,1,1,97544.29,0
851,1,0,2,170826.55,0
852,1,0,2,97133.92,1
853,8,1,1,153895.65,0
854,6,1,2,0.0,0
855,8,1,2,0.0,0
856,4,0,2,0.0,0
857,5,0,1,134956.02,1
858,7,1,2,143637.58,0
859,9,1,1,147506.25,0
860,1,0,2,0.0,1
861,8,0,1,190227.46,1
862,2,0,1,172448.77,1
863,7,1,1,113980.21,0
864,6,1,2,0.0,0
865,4,0,2,0.0,0
866,10,1,2,76968.12,0
867,1,1,2,88293.13,0
868,1,0,1,170833.46,1
869,6,0,2,108122.39,1
870,4,1,1,0.0,0
871,8,1,1,0.0,0
872,7,0,3,129818.39,1
873,2,1,2,163943.89,0
874,7,0,2,0.0,0
875,5,1,2,101430.3,0
876,9,0,1,117301.66,0
877,1,1,1,173340.83,0
878,4,1,2,0.0,0
879,3,0,1,134348.57,0
880,9,1,2,105525.65,0
881,6,0,1,0.0,1
882,4,0,3,0.0,1
883,6,0,1,106192.1,0
884,4,0,1,45144.43,1
885,7,1,1,92113.61,0
886,7,1,2,0.0,0
887,0,0,1,128366.44,0
888,2,1,2,0.0,0
889,3,1,1,106545.53,0
890,8,1,1,145618.37,0
891,8,0,1,141541.25,0
892,2,1,2,57017.06,0
893,9,0,1,0.0,0
894,3,1,3,0.0,1
895,8,0,2,125884.95,1
896,5,1,1,61825.5,0
897,8,0,2,0.0,0
898,6,0,1,0.0,0
899,2,0,1,102967.41,1
900,2,0,1,171770.55,0
901,1,0,2,93051.64,1
902,7,1,2,161064.64,0
903,7,1,1,90612.34,0
904,5,0,2,145105.64,0
905,4,0,1,0.0,1
906,9,1,1,0.0,1
907,6,1,1,174912.72,0
908,1,0,1,104947.72,1
909,10,1,1,135213.71,0
910,7,0,2,0.0,0
911,6,1,2,116229.85,0
912,6,1,1,111201.41,0
913,4,0,1,0.0,0
914,1,0,1,131899.0,0
915,10,1,1,124525.52,0
916,6,0,1,0.0,0
917,6,1,1,0.0,1
918,3,1,1,47134.75,0
919,3,0,2,0.0,0
920,9,0,2,0.0,0
921,5,1,2,0.0,0
922,1,0,1,0.0,1
923,5,0,3,0.0,1
924,1,1,1,138657.08,0
925,9,1,1,70302.48,0
926,1,1,2,101609.01,0
927,3,1,1,0.0,0
928,5,1,1,130170.82,0
929,8,1,2,133802.29,0
930,7,0,1,106234.02,0
931,6,0,1,132628.98,0
932,9,1,2,103522.75,0
933,8,0,2,192390.52,0
934,1,1,1,0.0,1
935,9,1,3,0.0,0
936,3,1,2,0.0,0
937,8,1,1,109922.61,1
938,5,1,1,128605.32,0
939,4,1,1,0.0,0
940,10,0,1,68598.56,0
941,1,1,1,106518.52,0
942,8,0,2,0.0,0
943,6,0,1,0.0,1
944,8,0,1,121326.42,0
945,8,0,1,67226.37,0
946,5,1,2,82931.85,0
947,4,0,1,0.0,1
948,5,1,1,118590.41,1
949,4,1,1,145981.87,0
950,3,0,1,73309.38,1
951,8,1,2,130796.33,0
