credit_profile_key,credit_card_ownership,credit_score,credit_card_type
132,1,795,GOLD
133,1,687,DIAMOND
134,0,686,DIAMOND
135,1,789,PLATINUM
136,1,589,GOLD
137,0,461,SILVER
138,0,637,PLATINUM
139,1,584,DIAMOND
140,0,579,GOLD
141,1,756,PLATINUM
142,1,663,SILVER
143,1,682,GOLD
144,1,793,GOLD
145,1,691,SILVER
146,1,485,GOLD
147,1,635,PLATINUM
148,0,650,PLATINUM
149,1,735,SILVER
150,0,416,GOLD
151,1,754,SILVER
152,1,535,GOLD
153,1,716,SILVER
154,1,539,DIAMOND
155,1,614,PLATINUM
156,1,706,GOLD
157,0,758,PLATINUM
158,1,586,PLATINUM
159,0,646,PLATINUM
160,0,631,SILVER
161,0,717,GOLD
162,1,684,DIAMOND
163,0,800,PLATINUM
164,1,721,SILVER
165,1,683,PLATINUM
166,1,660,GOLD
167,1,704,PLATINUM
168,1,615,PLATINUM
169,1,667,PLATINUM
170,0,682,SILVER
171,1,484,GOLD
172,1,628,SILVER
173,1,480,GOLD
174,1,578,DIAMOND
175,1,512,DIAMOND
176,1,484,SILVER
177,1,510,DIAMOND
178,0,606,PLATINUM
179,0,597,SILVER
180,1,754,GOLD
181,1,850,GOLD
182,1,510,SILVER
183,1,778,DIAMOND
184,1,636,PLATINUM
185,1,804,GOLD
186,1,514,PLATINUM
187,1,730,GOLD
188,0,525,SILVER
189,0,616,PLATINUM
190,1,687,GOLD
191,0,715,GOLD
192,1,512,PLATINUM
193,0,479,SILVER
194,1,601,GOLD
195,1,580,DIAMOND
196,1,807,SILVER
197,1,616,GOLD
198,1,721,PLATINUM
199,1,501,PLATINUM
200,1,521,PLATINUM
201,1,850,DIAMOND
202,0,759,GOLD
203,0,516,GOLD
204,1,711,DIAMOND
205,1,512,PLATINUM
206,1,550,GOLD
207,0,608,PLATINUM
208,1,618,SILVER
209,1,643,GOLD
210,0,671,DIAMOND
211,1,689,PLATINUM
212,1,603,GOLD
213,0,620,DIAMOND
214,1,676,SILVER
215,0,572,DIAMOND
216,0,668,GOLD
217,1,695,DIAMOND
218,0,730,SILVER
219,1,807,DIAMOND
220,1,592,PLATINUM
221,1,726,SILVER
222,0,514,DIAMOND
223,1,567,SILVER
224,1,850,SILVER
225,1,671,PLATINUM
226,1,670,GOLD
227,1,694,DIAMOND
228,1,547,SILVER
229,1,751,DIAMOND
230,1,594,GOLD
231,0,673,SILVER
232,1,610,GOLD
233,0,512,PLATINUM
234,0,767,DIAMOND
235,0,585,SILVER
236,1,763,GOLD
237,1,712,GOLD
238,1,539,DIAMOND
239,1,668,DIAMOND
240,0,703,PLATINUM
241,1,662,GOLD
242,1,725,GOLD
243,0,703,DIAMOND
244,1,659,SILVER
245,1,523,DIAMOND
246,1,635,GOLD
247,1,772,PLATINUM
248,1,545,PLATINUM
249,1,634,GOLD
250,1,739,DIAMOND
251,0,771,PLATINUM
252,1,587,DIAMOND
253,0,681,DIAMOND
254,1,544,DIAMOND
255,0,696,SILVER
256,0,766,GOLD
257,1,727,GOLD
258,0,671,SILVER
259,1,693,SILVER
260,1,850,GOLD
261,1,732,DIAMOND
262,1,726,DIAMOND
263,1,557,GOLD
264,0,682,PLATINUM
265,1,738,PLATINUM
266,1,531,PLATINUM
267,1,498,DIAMOND
268,1,651,GOLD
269,0,549,GOLD
270,1,791,SILVER
271,0,650,PLATINUM
272,1,733,PLATINUM
273,1,811,GOLD
274,1,707,GOLD
275,0,712,PLATINUM
276,1,706,GOLD
277,1,756,SILVER
278,1,777,PLATINUM
279,0,646,SILVER
280,1,714,PLATINUM
281,1,782,PLATINUM
282,1,775,DIAMOND
283,1,479,GOLD
284,1,807,DIAMOND
285,0,799,PLATINUM
286,1,675,SILVER
287,1,602,SILVER
288,1,475,PLATINUM
289,1,744,PLATINUM
290,1,588,PLATINUM
291,0,703,SILVER
292,1,747,DIAMOND
293,1,583,PLATINUM
294,0,750,PLATINUM
295,1,681,DIAMOND
296,1,773,PLATINUM
297,1,714,PLATINUM
298,1,687,SILVER
299,1,511,GOLD
300,1,627,PLATINUM
301,1,694,SILVER
302,0,616,SILVER
303,1,687,PLATINUM
304,1,712,GOLD
305,0,553,SILVER
306,1,667,SILVER
307,1,731,DIAMOND
308,1,629,SILVER
309,1,614,DIAMOND
310,1,438,PLATINUM
311,1,652,GOLD
312,1,729,GOLD
313,0,642,GOLD
314,1,806,SILVER
315,1,744,SILVER
316,0,474,SILVER
317,1,559,DIAMOND
318,1,706,PLATINUM
319,1,628,DIAMOND
320,1,429,GOLD
321,1,525,PLATINUM
322,1,680,SILVER
323,1,749,SILVER
324,0,763,PLATINUM
325,1,734,DIAMOND
326,1,716,PLATINUM
327,1,594,DIAMOND
328,1,644,SILVER
329,1,671,PLATINUM
330,1,664,GOLD
331,0,656,GOLD
332,1,667,DIAMOND
333,0,663,DIAMOND
334,1,584,PLATINUM
335,1,626,DIAMOND
336,1,485,GOLD
337,0,659,PLATINUM
338,1,649,DIAMOND
339,1,805,SILVER
340,1,716,DIAMOND
341,0,642,GOLD
342,0,659,SILVER
343,1,545,PLATINUM
344,0,543,PLATINUM
345,1,718,PLATINUM
346,1,840,SILVER
347,1,630,SILVER
348,1,643,PLATINUM
349,1,654,GOLD
350,1,582,DIAMOND
351,1,659,DIAMOND
352,1,762,GOLD
353,1,568,PLATINUM
354,1,670,DIAMOND
355,1,613,PLATINUM
356,1,539,DIAMOND
357,1,850,GOLD
358,1,522,GOLD
359,1,737,SILVER
360,0,520,DIAMOND
361,0,706,SILVER
362,0,643,PLATINUM
363,1,648,DIAMOND
364,1,443,PLATINUM
365,1,640,PLATINUM
366,1,628,GOLD
367,1,540,PLATINUM
368,1,460,DIAMOND
369,0,636,DIAMOND
370,1,593,SILVER
371,1,801,SILVER
372,0,640,PLATINUM
373,1,611,DIAMOND
374,1,802,DIAMOND
375,1,717,GOLD
376,0,769,GOLD
377,1,745,GOLD
378,1,572,GOLD
379,1,629,DIAMOND
380,0,687,GOLD
381,1,483,SILVER
382,1,690,DIAMOND
383,0,492,GOLD
384,1,709,DIAMOND
385,1,705,PLATINUM
386,1,560,DIAMOND
387,1,611,DIAMOND
388,1,730,GOLD
389,0,709,PLATINUM
390,1,544,PLATINUM
391,1,712,SILVER
392,1,752,SILVER
393,1,648,GOLD
394,0,556,GOLD
395,1,594,DIAMOND
396,0,645,PLATINUM
397,1,557,SILVER
398,1,547,SILVER
399,0,701,GOLD
400,1,616,DIAMOND
401,1,605,DIAMOND
402,1,593,SILVER
403,0,751,SILVER
404,0,443,GOLD
405,1,685,SILVER
406,1,718,DIAMOND
407,0,538,GOLD
408,1,611,SILVER
409,1,668,SILVER
410,1,537,DIAMOND
411,0,709,SILVER
412,1,850,PLATINUM
413,1,745,GOLD
414,1,693,GOLD
415,1,795,DIAMOND
416,0,626,PLATINUM
417,0,487,DIAMOND
418,1,556,DIAMOND
419,0,643,DIAMOND
420,0,605,DIAMOND
421,1,756,DIAMOND
422,1,586,SILVER
423,1,535,GOLD
424,1,678,DIAMOND
425,1,596,PLATINUM
426,1,648,GOLD
427,1,492,GOLD
428,1,702,DIAMOND
429,1,486,PLATINUM
430,0,568,SILVER
431,1,619,PLATINUM
432,0,724,DIAMOND
433,1,548,DIAMOND
434,1,545,GOLD
435,0,683,PLATINUM
436,0,762,SILVER
437,1,627,DIAMOND
438,0,516,GOLD
439,1,800,SILVER
440,1,464,SILVER
441,0,626,SILVER
442,1,790,DIAMOND
443,1,534,SILVER
444,1,745,DIAMOND
445,0,553,DIAMOND
446,0,748,GOLD
447,0,722,GOLD
448,1,501,DIAMOND
449,0,675,PLATINUM
450,1,778,GOLD
451,1,494,GOLD
452,0,850,GOLD
453,0,592,GOLD
454,1,590,PLATINUM
455,0,758,SILVER
456,1,506,GOLD
457,1,733,SILVER
458,1,711,DIAMOND
459,0,514,GOLD
460,1,637,DIAMOND
461,1,468,GOLD
462,1,539,SILVER
463,1,509,DIAMOND
464,1,662,DIAMOND
465,1,818,SILVER
466,1,608,GOLD
467,1,850,DIAMOND
468,1,816,GOLD
469,1,536,GOLD
470,1,753,GOLD
471,1,631,PLATINUM
472,1,703,DIAMOND
473,1,774,DIAMOND
474,1,785,SILVER
475,1,571,GOLD
476,0,621,SILVER
477,1,605,SILVER
478,1,611,DIAMOND
479,1,569,SILVER
480,1,658,GOLD
481,0,788,DIAMOND
482,1,525,PLATINUM
483,0,798,SILVER
484,1,486,GOLD
485,1,615,DIAMOND
486,1,730,GOLD
487,1,641,PLATINUM
488,1,542,PLATINUM
489,0,692,DIAMOND
490,1,714,GOLD
491,1,591,PLATINUM
492,1,710,DIAMOND
493,0,639,GOLD
494,0,531,SILVER
495,0,673,PLATINUM
496,1,765,DIAMOND
497,1,622,SILVER
498,1,806,SILVER
499,1,757,SILVER
500,0,570,DIAMOND
501,1,555,DIAMOND
502,1,692,PLATINUM
503,1,774,GOLD
504,1,638,SILVER
505,0,543,PLATINUM
506,1,584,PLATINUM
507,1,691,DIAMOND
508,1,684,PLATINUM
509,1,733,DIAMOND
510,1,599,GOLD
511,1,524,GOLD
512,1,632,SILVER
513,0,735,PLATINUM
514,1,734,DIAMOND
515,1,605,PLATINUM
516,1,793,SILVER
517,0,468,PLATINUM
518,1,779,GOLD
519,0,698,GOLD
520,0,707,GOLD
521,1,850,PLATINUM
522,1,850,SILVER
523,1,527,PLATINUM
524,1,696,DIAMOND
525,0,661,PLATINUM
526,1,776,DIAMOND
527,1,701,SILVER
528,1,610,SILVER
529,1,572,GOLD
530,1,673,DIAMOND
531,1,519,SILVER
532,0,702,DIAMOND
533,1,729,GOLD
534,1,543,GOLD
535,1,550,GOLD
536,1,608,DIAMOND
537,1,639,PLATINUM
538,1,686,SILVER
539,0,564,GOLD
540,1,745,PLATINUM
541,1,833,DIAMOND
542,1,622,PLATINUM
543,1,597,SILVER
544,1,721,PLATINUM
545,0,504,SILVER
546,1,842,DIAMOND
547,1,587,DIAMOND
548,1,479,SILVER
549,1,508,GOLD
550,1,749,GOLD
551,1,721,SILVER
552,1,674,GOLD
553,1,685,DIAMOND
554,1,417,SILVER
555,1,574,SILVER
556,0,590,SILVER
557,1,587,SILVER
558,1,598,SILVER
559,1,741,GOLD
560,1,850,DIAMOND
561,0,584,DIAMOND
562,0,650,DIAMOND
563,1,607,GOLD
564,1,509,DIAMOND
565,1,689,SILVER
566,1,543,GOLD
567,0,438,SILVER
568,1,687,PLATINUM
569,1,737,PLATINUM
570,1,761,GOLD
571,1,601,GOLD
572,1,651,SILVER
573,1,745,SILVER
574,1,648,GOLD
575,1,848,GOLD
576,1,546,SILVER
577,1,439,DIAMOND
578,0,755,GOLD
579,1,593,SILVER
580,1,701,DIAMOND
581,1,701,DIAMOND
582,0,607,PLATINUM
583,0,586,PLATINUM
584,1,547,PLATINUM
585,0,647,SILVER
586,0,760,DIAMOND
587,1,621,PLATINUM
588,1,725,SILVER
589,1,526,PLATINUM
590,0,519,PLATINUM
591,1,713,SILVER
592,1,700,DIAMOND
593,1,666,SILVER
594,0,630,GOLD
595,0,779,PLATINUM
596,1,611,DIAMOND
597,1,685,SILVER
598,1,646,PLATINUM
599,0,683,SILVER
600,0,484,DIAMOND
601,0,601,SILVER
602,1,762,PLATINUM
603,0,687,GOLD
604,1,566,DIAMOND
605,1,702,DIAMOND
606,1,601,GOLD
607,0,699,PLATINUM
608,1,584,GOLD
609,1,699,SILVER
610,1,698,DIAMOND
611,0,495,DIAMOND
612,1,650,PLATINUM
613,1,605,SILVER
614,1,667,PLATINUM
615,1,688,PLATINUM
616,1,727,SILVER
617,1,754,DIAMOND
618,1,612,GOLD
619,1,546,DIAMOND
620,1,673,SILVER
621,1,593,DIAMOND
622,0,656,PLATINUM
623,1,535,PLATINUM
624,0,678,SILVER
625,0,477,GOLD
626,0,850,PLATINUM
627,1,427,GOLD
628,1,752,SILVER
629,1,649,GOLD
630,1,799,SILVER
631,1,589,SILVER
632,1,583,DIAMOND
633,1,839,PLATINUM
634,1,540,SILVER
635,0,850,DIAMOND
636,1,696,SILVER
637,0,660,PLATINUM
638,0,682,SILVER
639,0,744,SILVER
640,0,785,SILVER
641,1,752,PLATINUM
642,1,706,PLATINUM
643,1,583,PLATINUM
644,1,660,DIAMOND
645,1,819,SILVER
646,1,673,SILVER
647,1,752,SILVER
648,1,578,DIAMOND
649,1,438,SILVER
650,1,652,PLATINUM
651,1,629,PLATINUM
652,1,720,GOLD
653,1,668,DIAMOND
654,1,459,DIAMOND
655,1,729,PLATINUM
656,1,498,DIAMOND
657,0,549,PLATINUM
658,1,601,DIAMOND
659,1,544,GOLD
660,1,751,DIAMOND
661,1,632,SILVER
662,1,694,SILVER
663,1,678,DIAMOND
664,1,695,PLATINUM
665,0,661,PLATINUM
666,1,661,DIAMOND
667,0,559,PLATINUM
668,1,503,DIAMOND
669,1,695,SILVER
670,1,640,PLATINUM
671,0,624,PLATINUM
672,0,667,GOLD
673,0,642,SILVER
674,1,640,PLATINUM
675,1,529,PLATINUM
676,1,563,SILVER
677,1,593,PLATINUM
678,0,739,SILVER
679,1,788,DIAMOND
680,1,684,SILVER
681,0,482,GOLD
682,0,591,GOLD
683,0,651,SILVER
684,0,749,DIAMOND
685,0,583,SILVER
686,0,661,PLATINUM
687,1,715,PLATINUM
688,1,769,DIAMOND
689,1,625,PLATINUM
690,1,641,SILVER
691,1,716,GOLD
692,1,767,PLATINUM
693,0,745,PLATINUM
694,1,589,SILVER
695,1,796,DIAMOND
696,1,664,SILVER
697,1,445,PLATINUM
698,1,543,GOLD
699,1,746,DIAMOND
700,1,742,SILVER
701,1,750,SILVER
702,0,669,PLATINUM
703,0,594,DIAMOND
704,0,574,DIAMOND
705,1,659,PLATINUM
706,1,750,GOLD
707,1,626,SILVER
708,1,620,GOLD
709,0,580,GOLD
710,1,686,PLATINUM
711,0,540,GOLD
712,1,634,SILVER
713,1,632,DIAMOND
714,1,501,DIAMOND
715,1,650,GOLD
716,1,786,GOLD
717,0,554,DIAMOND
718,0,701,GOLD
719,0,474,PLATINUM
720,1,621,SILVER
721,1,672,PLATINUM
722,1,459,PLATINUM
723,0,669,GOLD
724,1,776,SILVER
725,1,694,SILVER
726,1,787,DIAMOND
727,0,580,DIAMOND
728,1,711,PLATINUM
729,1,673,SILVER
730,0,499,GOLD
731,1,591,SILVER
732,0,769,DIAMOND
733,0,657,SILVER
734,1,738,DIAMOND
735,0,545,GOLD
736,1,497,SILVER
737,1,816,GOLD
738,0,525,SILVER
739,1,725,GOLD
740,1,692,GOLD
741,0,618,DIAMOND
742,1,546,DIAMOND
743,1,635,PLATINUM
744,0,611,PLATINUM
745,1,650,GOLD
746,1,606,DIAMOND
747,0,844,DIAMOND
748,1,450,GOLD
749,1,727,DIAMOND
750,1,460,SILVER
751,0,649,GOLD
752,1,758,DIAMOND
753,1,490,PLATINUM
754,1,815,GOLD
755,1,838,DIAMOND
756,1,803,GOLD
757,1,664,GOLD
758,1,736,PLATINUM
759,1,633,GOLD
760,1,664,DIAMOND
761,1,600,GOLD
762,1,693,DIAMOND
763,0,663,PLATINUM
764,1,742,GOLD
765,1,710,GOLD
766,1,710,SILVER
767,0,700,GOLD
768,0,720,PLATINUM
769,0,684,GOLD
770,0,531,PLATINUM
771,0,742,GOLD
772,0,717,GOLD
773,0,589,GOLD
774,0,767,DIAMOND
775,1,636,PLATINUM
776,1,648,PLATINUM
777,1,622,GOLD
778,0,692,SILVER
779,1,754,DIAMOND
780,0,679,SILVER
781,1,639,PLATINUM
782,0,774,GOLD
783,0,517,SILVER
784,0,571,SILVER
785,1,747,PLATINUM
786,0,792,SILVER
787,1,688,PLATINUM
788,0,714,GOLD
789,1,562,SILVER
790,1,704,SILVER
791,1,698,GOLD
792,1,611,PLATINUM
793,1,850,GOLD
794,1,743,GOLD
795,1,654,SILVER
796,0,761,DIAMOND
797,0,702,PLATINUM
798,1,488,GOLD
799,1,683,SILVER
800,0,601,SILVER
801,1,605,PLATINUM
802,0,671,SILVER
803,1,614,DIAMOND
804,0,511,DIAMOND
805,0,850,PLATINUM
806,0,790,SILVER
807,0,793,GOLD
808,1,628,DIAMOND
809,1,598,SILVER
810,1,657,GOLD
811,1,618,DIAMOND
812,0,681,GOLD
813,1,516,PLATINUM
814,1,421,SILVER
815,0,700,DIAMOND
816,1,745,SILVER
817,1,696,GOLD
818,0,580,DIAMOND
819,1,497,GOLD
820,1,720,GOLD
821,1,659,DIAMOND
822,0,841,DIAMOND
823,1,642,GOLD
824,0,732,PLATINUM
825,1,600,GOLD
826,1,464,GOLD
827,1,680,DIAMOND
828,1,758,PLATINUM
829,1,630,SILVER
830,1,577,PLATINUM
831,1,684,SILVER
832,0,708,SILVER
833,1,732,GOLD
834,1,634,GOLD
835,0,633,DIAMOND
836,1,559,PLATINUM
837,1,694,DIAMOND
838,1,686,DIAMOND
839,0,553,PLATINUM
840,0,507,DIAMOND
841,0,732,DIAMOND
842,0,818,PLATINUM
843,0,660,PLATINUM
844,1,773,DIAMOND
845,1,640,PLATINUM
846,0,505,GOLD
847,0,714,GOLD
848,1,468,GOLD
849,1,611,PLATINUM
850,0,705,DIAMOND
851,1,646,PLATINUM
852,0,667,GOLD
853,1,511,GOLD
854,1,653,DIAMOND
855,0,675,SILVER
856,1,523,DIAMOND
857,1,567,GOLD
858,0,741,PLATINUM
859,1,456,DIAMOND
860,1,598,PLATINUM
861,1,667,DIAMOND
862,1,548,GOLD
863,1,725,DIAMOND
864,0,717,DIAMOND
865,0,594,SILVER
866,0,678,GOLD
867,1,545,GOLD
868,1,636,PLATINUM
869,1,603,GOLD
870,1,435,PLATINUM
871,1,535,DIAMOND
872,1,629,PLATINUM
873,1,722,GOLD
874,1,561,PLATINUM
875,0,645,GOLD
876,0,501,SILVER
877,0,502,PLATINUM
878,1,652,GOLD
879,1,574,DIAMOND
880,1,518,DIAMOND
881,1,749,SILVER
882,1,679,DIAMOND
883,1,565,DIAMOND
884,1,643,DIAMOND
885,1,515,PLATINUM
886,1,521,SILVER
887,1,739,PLATINUM
888,1,585,SILVER
889,1,733,GOLD
890,0,542,PLATINUM
891,0,788,DIAMOND
892,1,435,SILVER
893,1,577,SILVER
894,1,703,DIAMOND
895,1,728,PLATINUM
896,1,728,GOLD
897,1,718,PLATINUM
898,1,621,PLATINUM
899,1,523,PLATINUM
900,1,657,GOLD
901,1,727,SILVER
902,0,643,SILVER
903,1,645,DIAMOND
904,1,568,GOLD
905,0,599,GOLD
906,1,672,PLATINUM
907,1,685,PLATINUM
908,1,516,DIAMOND
909,1,685,GOLD
910,1,806,PLATINUM
911,1,604,PLATINUM
912,1,648,PLATINUM
913,1,545,PLATINUM
914,1,756,SILVER
915,1,569,PLATINUM
916,1,596,GOLD
917,1,475,GOLD
918,1,646,PLATINUM
919,0,784,PLATINUM
920,1,552,DIAMOND
921,0,729,GOLD
922,1,609,PLATINUM
923,1,555,PLATINUM
924,1,572,PLATINUM
925,1,785,SILVER
926,1,714,PLATINUM
927,1,738,DIAMOND
928,1,639,GOLD
929,1,520,GOLD
930,0,764,SILVER
931,0,661,DIAMOND
932,1,564,GOLD
933,1,708,SILVER
934,0,512,PLATINUM
935,1,592,DIAMOND
936,0,619,PLATINUM
937,1,775,SILVER
938,0,850,PLATINUM
939,1,577,PLATINUM
940,1,724,GOLD
941,1,710,PLATINUM
942,0,696,SILVER
943,1,376,PLATINUM
944,1,675,SILVER
945,1,745,DIAMOND
946,1,697,PLATINUM
947,1,599,PLATINUM
948,1,715,GOLD
949,1,659,PLATINUM
950,0,684,DIAMOND
951,1,635,SILVER
952,1,789,SILVER
953,0,571,PLATINUM
954,1,694,PLATINUM
955,0,665,DIAMOND
956,0,706,SILVER
957,0,807,PLATINUM
958,1,771,GOLD
959,0,531,SILVER
960,1,629,DIAMOND
961,1,850,DIAMOND
962,1,685,PLATINUM
963,1,642,PLATINUM
964,1,529,GOLD
965,1,683,PLATINUM
966,1,663,SILVER
967,1,563,DIAMOND
968,0,637,GOLD
969,0,544,PLATINUM
970,0,649,DIAMOND
971,1,638,SILVER
972,1,723,DIAMOND
973,0,635,SILVER
974,0,750,DIAMOND
975,1,730,DIAMOND
976,0,750,GOLD
977,1,586,SILVER
978,1,520,DIAMOND
979,1,652,GOLD
980,1,550,GOLD
981,0,594,PLATINUM
982,0,749,SILVER
983,1,668,GOLD
984,0,614,PLATINUM
985,0,773,GOLD
986,1,551,PLATINUM
987,1,566,GOLD
988,1,569,SILVER
989,1,659,SILVER
990,1,722,SILVER
991,1,655,GOLD
992,1,615,SILVER
993,0,752,PLATINUM
994,0,661,GOLD
995,1,838,SILVER
996,0,610,SILVER
997,0,811,PLATINUM
998,0,587,DIAMOND
999,1,811,GOLD
1000,0,759,PLATINUM
1001,1,648,GOLD
1002,1,788,DIAMOND
1003,1,725,GOLD
1004,0,646,DIAMOND
1005,1,601,GOLD
1006,0,521,SILVER
1007,1,561,DIAMOND
1008,1,564,GOLD
1009,1,444,GOLD
1010,1,650,GOLD
1011,1,724,GOLD
1012,1,719,DIAMOND
1013,0,548,DIAMOND
1014,1,635,GOLD
1015,0,496,SILVER
1016,1,676,DIAMOND
1017,1,541,PLATINUM
1018,1,778,GOLD
1019,1,850,DIAMOND
1020,1,633,GOLD
1021,1,625,SILVER
1022,1,485,PLATINUM
1023,0,547,DIAMOND
1024,1,642,SILVER
1025,1,718,DIAMOND
1026,1,582,SILVER
1027,0,628,SILVER
1028,0,737,DIAMOND
1029,1,828,SILVER
1030,1,609,SILVER
1031,0,730,GOLD
1032,0,631,PLATINUM
1033,0,830,DIAMOND
1034,0,645,SILVER
1035,0,663,DIAMOND
1036,1,678,GOLD
1037,1,521,SILVER
1038,1,625,DIAMOND
1039,1,523,SILVER
1040,1,714,SILVER
1041,1,580,PLATINUM
1042,1,722,PLATINUM
1043,1,630,SILVER
1044,1,579,GOLD
1045,1,670,PLATINUM
1046,1,588,DIAMOND
1047,1,807,DIAMOND
1048,1,726,DIAMOND
1049,1,812,PLATINUM
1050,1,631,DIAMOND
1051,0,682,DIAMOND
1052,1,625,PLATINUM
1053,1,607,PLATINUM
1054,1,600,DIAMOND
1055,1,602,PLATINUM
1056,1,545,SILVER
1057,1,675,GOLD
1058,0,581,DIAMOND
1059,0,640,PLATINUM
1060,0,850,SILVER
1061,1,490,GOLD
1062,1,710,DIAMOND
1063,1,613,SILVER
1064,1,812,GOLD
1065,1,723,PLATINUM
1066,0,512,DIAMOND
1067,1,731,DIAMOND
1068,1,650,GOLD
1069,1,594,GOLD
1070,1,844,SILVER
1071,1,686,GOLD
1072,1,695,GOLD
1073,0,624,SILVER
1074,0,503,SILVER
1075,1,535,DIAMOND
1076,1,743,PLATINUM
1077,1,702,DIAMOND
1078,1,658,DIAMOND
1079,1,677,DIAMOND
1080,1,664,DIAMOND
1081,0,766,GOLD
1082,1,461,SILVER
1083,1,688,DIAMOND
1084,1,678,GOLD
1085,1,796,GOLD
1086,1,803,GOLD
1087,0,712,PLATINUM
1088,1,498,PLATINUM
1089,1,850,GOLD
1090,1,628,SILVER
1091,1,539,PLATINUM
1092,1,732,DIAMOND
1093,0,715,GOLD
1094,1,651,SILVER
1095,1,813,DIAMOND
1096,1,692,PLATINUM
1097,1,756,SILVER
1098,1,543,GOLD
1099,0,790,DIAMOND
1100,1,494,PLATINUM
1101,1,850,DIAMOND
1102,1,703,DIAMOND
1103,1,432,PLATINUM
1104,1,512,PLATINUM
1105,1,589,SILVER
1106,1,514,GOLD
1107,0,678,PLATINUM
1108,0,420,DIAMOND
1109,1,679,GOLD
1110,1,595,PLATINUM
1111,1,713,PLATINUM
1112,1,833,SILVER
1113,0,690,DIAMOND
1114,1,731,GOLD
1115,0,608,GOLD
1116,0,479,SILVER
1117,1,519,SILVER
1118,0,731,GOLD
1119,1,617,DIAMOND
1120,1,756,DIAMOND
1121,1,848,PLATINUM
1122,1,809,GOLD
1123,0,698,DIAMOND
1124,1,779,PLATINUM
1125,1,606,SILVER
1126,1,612,GOLD
1127,1,663,SILVER
1128,1,549,SILVER
1129,1,675,SILVER
1130,1,669,SILVER
1131,0,571,SILVER
1132,1,500,PLATINUM
1133,1,628,GOLD
1134,1,559,GOLD
1135,1,769,SILVER
1136,0,733,SILVER
1137,0,750,GOLD
1138,1,583,DIAMOND
1139,1,468,PLATINUM
1140,0,727,SILVER
1141,1,618,DIAMOND
1142,1,617,GOLD
1143,1,793,GOLD
1144,1,630,GOLD
1145,0,765,GOLD
1146,1,546,GOLD
1147,1,614,PLATINUM
1148,1,593,GOLD
1149,1,613,GOLD
1150,0,655,GOLD
